Rank,Release,Genre,Budget,Running Time,Gross,Theaters,Total Gross,Release Date,Distributor,Estimated
513,The Young Karl Marx,-,-,-,"$125,659",15,"$125,659",Feb 23,The Orchard,false
514,Bel Canto,-,-,-,"$125,569",30,"$125,569",Sep 14,Screen Media Films,false
515,'85: The Greatest Team in Football History,-,-,-,"$124,573",221,"$124,573",Jan 29,Fathom Events,false
516,Destroyer,-,-,-,"$122,100",235,"$1,533,324",Dec 25,Annapurna Pictures,false
517,"Yu-Gi-Oh!: The Movie - Pyramid of Light
2018 Re-release",-,-,-,"$121,688",576,"$121,688",Mar 11,Fathom Events,false
518,Geostorm,-,-,-,"$121,378","3,246","$33,700,160",Oct 20,Warner Bros.,false
519,Love After Love,-,-,-,"$121,098",29,"$121,098",Mar 30,IFC Films,false
520,Five Seasons: The Gardens of Piet Oudolf,-,-,-,"$119,223",9,"$119,223",Jun 13,Argot Pictures,false
521,Till The End Of The World,-,-,-,"$118,660",27,"$118,660",Feb 2,China Lion Film Distribution,false
522,The Great Buster,-,-,-,"$118,344",14,"$118,344",Oct 5,Cohen Media Group,false
523,Bisbee '17,-,-,-,"$117,470",14,"$117,470",Sep 5,4th Row Films,false
524,Ryuichi Sakamoto: Coda,-,-,-,"$117,460",9,"$117,460",Jul 6,MUBI,false
525,"George Takei's Allegiance
2018 Re-release",-,-,-,"$117,162",567,"$117,162",Dec 11,Fathom Events,false
526,Capernaum,-,-,-,"$115,974",136,"$1,661,096",Dec 14,Sony Pictures Classics,false
527,"Wings of Desire
2018 Re-release",-,-,-,"$115,880",4,"$123,830",Oct 19,Janus Films,false
528,Gonjiam: Haunted Asylum,-,-,-,"$115,252",7,"$115,252",Apr 13,Well Go USA Entertainment,false
529,Mantra: Sounds Into Silence,-,-,-,"$115,013",9,"$115,013",Apr 20,GathrFilms,false
530,Nostalgia,-,-,-,"$114,603",140,"$114,603",Feb 16,Bleecker Street Media,false
531,Bodied,-,-,-,"$113,956",17,"$113,956",Nov 2,Neon,false
532,Hymn: Sarah Brightman in Concert,-,-,-,"$113,274",466,"$113,274",Nov 8,Fathom Events,false
533,A Boy. A Girl. A Dream.,-,-,-,"$112,552",61,"$112,552",Sep 14,The Samuel Goldwyn Company,false
534,The Dawn Wall,-,-,-,"$112,191",4,"$112,191",Sep 14,The Orchard,false
535,A Chance in the World,-,-,-,"$112,007",497,"$112,007",May 30,Fathom Events,false
536,The World Before Your Feet,-,-,-,"$111,823",11,"$268,644",Nov 21,Greenwich Entertainment,false
537,"Roman J. Israel, Esq.",-,-,-,"$111,504","1,669","$11,962,778",Nov 17,Sony Pictures Entertainment (SPE),false
538,Amazing Grace,-,-,-,"$111,389",263,"$4,450,456",Dec 7,Neon,false
539,The Negotiation,-,-,-,"$110,986",13,"$110,986",Sep 21,CJ Entertainment,false
540,Lu Over the Wall,-,-,-,"$109,857",97,"$109,857",May 11,GKIDS,false
541,The Captain,-,-,-,"$109,226",10,"$109,226",Jul 27,Music Box Films,false
542,Mary Shelley,-,-,-,"$108,900",30,"$108,900",May 25,IFC Films,false
543,Deep Sea,-,-,-,"$108,865",47,"$46,412,757",Mar 3,Warner Bros.,false
544,National Theatre Live: Julius Caesar,-,-,-,"$107,057",514,"$107,057",Mar 22,Fathom Events,false
545,"Love, Cecil",-,-,-,"$106,057",8,"$106,057",Jun 29,Zeitgeist Films,false
546,In Between,-,-,-,"$105,571",8,"$107,977",Jan 5,Film Movement,false
547,Never Heard,-,-,-,"$105,271",445,"$105,271",Nov 1,Fathom Events,false
548,Sweet Country,-,-,-,"$104,297",24,"$104,297",Apr 6,The Samuel Goldwyn Company,false
549,Namaste England,-,-,-,"$104,156",71,"$104,156",Oct 19,Eros International,false
550,Detective K: Secret of the Living Dead,-,-,-,"$104,013",9,"$104,013",Feb 16,Well Go USA Entertainment,false
551,Memoir of War,-,-,-,"$103,636",11,"$103,636",Aug 17,Music Box Films,false
552,Happy Phirr Bhag Jayegi,-,-,-,"$103,385",71,"$103,385",Aug 24,Eros International,false
553,Ismael's Ghosts,-,-,-,"$102,510",17,"$102,510",Mar 23,Magnolia Pictures,false
554,Revenge,-,-,-,"$102,091",37,"$102,091",May 11,Neon,false
555,"Andrei Rublev
2018 Re-release",-,-,-,"$102,021",4,"$102,021",Aug 24,Janus Films,false
556,Unstoppable,-,-,-,"$101,417",22,"$101,417",Nov 30,Well Go USA Entertainment,false
557,The Man Who Invented Christmas,-,-,-,"$100,727",720,"$5,676,486",Nov 22,Bleecker Street Media,false
558,All About Nina,-,-,-,"$100,335",54,"$100,335",Sep 28,The Orchard,false
559,Filmworker,-,-,-,"$99,593",17,"$102,609",May 11,Kino Lorber,false
560,Meow Wolf: Origin Story,-,-,-,"$99,488",461,"$99,488",Nov 29,Fathom Events,false
561,Big Sonia,-,-,-,"$98,868",4,"$212,471",Nov 17,Argot Pictures,false
562,National Theatre Live: Macbeth,-,-,-,"$97,857",502,"$97,857",May 17,Fathom Events,false
563,Champion,-,-,-,"$97,472",29,"$97,472",May 11,Well Go USA Entertainment,false
564,Wonder Wheel,-,-,-,"$97,456",536,"$1,404,061",Dec 1,Amazon Studios,false
565,Godspeed: The Race Across America,-,-,-,"$96,690",514,"$96,690",May 22,Fathom Events,false
566,El Angel,-,-,-,"$94,481",11,"$109,608",Nov 9,The Orchard,false
567,Golden Slumber,-,-,-,"$94,450",13,"$94,450",Feb 16,CJ Entertainment,false
568,Let the Corpses Tan,-,-,-,"$93,409",13,"$93,409",Aug 31,Kino Lorber,false
