Brand                   ,Description                                                          ,Catérogie   ,Format (petit)         ,Prix Total ,Prix unitaire ,Format (grand)     ,Prix Total ,Prix unitaire ,URL
Mastro                  ,"Capicollo doux plat 2,5 kg"                                         ,charcuterie ,"unité (env. 2,5 kg)"  ,12.99      ,0.52          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-doux-plat-mastro-10513/
Nostrano                ,Capicollo doux tranché 125 g                                         ,charcuterie ,unité (125g)           ,2.99       ,2.392         ,caisse (12x125g)   ,33.99      ,2.266         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-doux-tranche-nostrano-09997/
Roma                    ,Capicollo doux tranché extra maigre 125 g                            ,charcuterie ,unité (125g)           ,2.59       ,2.072         ,caisse (12x125g)   ,28.99      ,1.933         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicolle-plat-doux-tranche-roma-37319/
Mastro                  ,"Capicollo extra fort 1,4 kg"                                        ,charcuterie ,"unité (env. 1,4 kg)"  ,21.99      ,1.571         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-extra-fort-mastro-29559/
Salamina                ,"Capicollo fort entier 2,5 kg"                                       ,charcuterie ,"unité (env. 2,5 kg)"  ,22.99      ,0.92          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-fort-entier-salamina-03237/
Fantino                 ,"Capicollo fort nature entier 2,5 kg"                                ,charcuterie ,"unité (env. 2,5 kg)"  ,20.99      ,0.84          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-fort-nature-entier-fantino-25517/
Nostrano                ,Capicollo fort tranché 125 g                                         ,charcuterie ,unité (125g)           ,2.99       ,2.392         ,caisse (12x125g)   ,33.99      ,2.266         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicollo-fort-tranche-nostrano-09996/
Mastro                  ,"Capicollo piquant plat 2,5 kg"                                      ,charcuterie ,"unité (env. 2,5 kg)"  ,12.99      ,0.52          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/capicolle/capicolle-fort-plat-mastro-16517/
Maison Fayard           ,Cassoulet de canard confit 840 g                                     ,charcuterie ,unité (840g)           ,17.99      ,2.142         ,caisse (12x840g)   ,183.99     ,1.825         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/canard/canard-confit-cassoulet-maison-fayard-28476/
Sardo                   ,Champignons grillés assaisonnés 250 ml                               ,charcuterie ,unité (250ml)          ,4.19       ,1.676         ,caisse (12X250ml)  ,36.99      ,1.233         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/antipasti/champignons-grilles-assaisonnes-sardo-27669/
Au P'TIT Marché         ,Chaudrée de fruits de mer 275 g                                      ,charcuterie ,unité (275g)           ,4.99       ,1.815         ,caisse (12x275g)   ,45.99      ,1.394         ,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/Fruits-de-mer-divers-surgeles/chaudree-de-fruits-de-mer-au-ptit-marche-53054/
Au P'TIT Marché         ,Chaudrée de palourdes 275 g                                          ,charcuterie ,unité (275g)           ,4.99       ,1.815         ,caisse (12x275g)   ,45.99      ,1.394         ,https://www.mayrand.ca/fr/nos-produits/surgele/fruit-de-mer-surgele/Fruits-de-mer-divers-surgeles/chaudree-de-palourdes-au-ptit-marche-53055/
Du Breton               ,Chorizo biologique tranché 65 g                                      ,charcuterie ,unité (65g)            ,4.99       ,7.677         ,caisse (12x65g)    ,46.99      ,6.024         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/poulet-et-dinde/chorizo-bio-tranche-du-breton-32226/
Duero                   ,Chorizo doux 225 g                                                   ,charcuterie ,unité (225g)           ,5.79       ,2.573         ,caisse (12X225g)   ,65.99      ,2.444         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/chorizo-doux-duero-39422/
Duero                   ,Chorizo piquant 225 g                                                ,charcuterie ,unité (225g)           ,5.79       ,2.573         ,caisse (12X225g)   ,65.99      ,2.444         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/chorizo-piquant-duero-39421/
Fantino                 ,Chorizo sec 225 g                                                    ,charcuterie ,unité (225g)           ,7.99       ,3.551         ,caisse (8X225g)    ,56.99      ,3.166         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/chorizo-sec-fantino-24026/
Sultana                 ,Chorizo sec au bœuf halal 80 g                                       ,charcuterie ,unité (80g)            ,5.99       ,7.487         ,caisse (12X80G)    ,60.99      ,6.353         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-halal/saucisson-sec-au-boeuf-halal-sultana-21399/
Fantino                 ,Chorizo sec en cubes 175 g                                           ,charcuterie ,unité (175g)           ,6.19       ,3.537         ,caisse (12x175g)   ,70.99      ,3.38          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/chorizo-sec-en-cube-fantino-24027/
Fantino                 ,Chorizo sec tranché 200 g                                            ,charcuterie ,unité (200g)           ,6.49       ,3.245         ,caisse (12X200g)   ,64.99      ,2.708         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/salami/chorizo-sec-tranche-fantino-24028/
Hengstenberg            ,Choucroute douce au vin 796 ml                                       ,charcuterie ,unité (796ml)          ,3.99       ,0.501         ,caisse (12X796ml)  ,35.99      ,0.377         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/choucroute-7ec7848d/choucroute-douce-au-vin-hengstenberg-30112/
Hengstenberg            ,Choucroute à la bavaroise 720 ml                                     ,charcuterie ,unité (720ml)          ,3.99       ,0.554         ,caisse (12X720ml)  ,43.99      ,0.509         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/pret-a-manger/choucroute-7ec7848d/choucroute-a-la-bavaroise-hengstenberg-23634/
Fumagalli               ,Coppa 710 g                                                          ,charcuterie ,"unité (env. 0,71 kg)" ,30.99      ,4.365         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/charcuterie/prosciutto/coppa-fumagalli-37809/
Porkshop                ,Creton 175 g                                                         ,charcuterie ,unité (175g)           ,5.49       ,3.137         ,caisse (6x175g)    ,28.99      ,2.761         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-traiteur/creton-porkshop-29517/
Gaspésien               ,Creton 200 g                                                         ,charcuterie ,unité (200g)           ,2.99       ,1.495         ,caisse (6x200g)    ,16.99      ,1.416         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-traiteur/creton-gaspesien-gaspesien-23615/
Perron                  ,Creton 200 g                                                         ,charcuterie ,unité (200g)           ,4.59       ,2.295         ,caisse (12x200g)   ,49.99      ,2.083         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-traiteur/creton-200g-perron-31789/
Saroma                  ,Creton 200 g                                                         ,charcuterie ,unité (1kg)            ,8.49       ,0.849         ,caisse (4x1kg)     ,28.99      ,0.725         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-traiteur/cretons-saroma-35232/
Perron                  ,Creton 500 g                                                         ,charcuterie ,unité (500g)           ,8.49       ,1.698         ,caisse (6x500g)    ,45.99      ,1.533         ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-traiteur/creton-500g-perron-31790/
Gaspésien               ,Cretons 3 kg                                                         ,charcuterie ,unité (3kg)            ,26.99      ,0.9           ,caisse (2x3kg)     ,50.99      ,0.85          ,https://www.mayrand.ca/fr/nos-produits/charcuterie/charcuterie-traiteur/creton-gaspesien-22554/
