Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
San Pellegrino,Boisson pétillante Melograno e Arancia 330 ml,boisson,unité (1X6X330ml),4.69,469.0,caisse (4X6X330ml),17.49,0.221,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-melograno-e-san-pellegrino-35576/
San Pellegrino,Boisson pétillante Pompelmo 330 ml,boisson,unité (1x6x330ml),4.69,469.0,caisse (4x6x330ml),17.49,0.221,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-pompelmo-san-pellegrino-14865/
San Pellegrino,Boisson pétillante au thé et au citron 250 ml biologique,boisson,unité (1x6x250ml),4.69,469.0,caisse (4x6x250ml),17.49,0.291,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-au-the-et-au-citron-biologique-san-pellegrino-05807/
San Pellegrino,Boisson pétillante au thé et à la pêche 250 ml biologique,boisson,unité (1x6x250ml),4.69,469.0,caisse (4x6x250ml),17.49,0.291,https://www.mayrand.ca/fr/nos-produits/boisson/eau/eau-petillante/boisson-petillante-biologique-au-the-et-a-la-peche-san-pellegrino-05808/
Gatorade,Boisson sportive au punch fruit 591 ml,boisson,unité (6X591ml),6.99,116.5,caisse (4X6X591ml),24.99,0.176,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-sportive-au-punch-fruit-gatorade-46584/
Gatorade,Boisson sportive au raisin 591 ml,boisson,unité (6X591ml),6.99,116.5,caisse (4X6X591ml),24.99,0.176,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-sportive-au-raisin-gatorade-46585/
Gatorade,Boisson sportive bleu cool 591 ml,boisson,unité (6X591ml),6.99,116.5,caisse (4X6X591ml),24.99,0.176,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-sportive-bleu-cool-gatorade-46583/
Gatorade,Boisson sportive glacier iceberg 591 ml,boisson,unité (6X591ml),6.99,116.5,caisse (4X6X591ml),24.99,0.176,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-sportive-glacier-iceberg-gatorade-46586/
Gatorade,Boisson sportive à l'orange 591 ml,boisson,unité (6X591ml),6.99,116.5,caisse (4X6X591ml),24.99,0.176,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-energisante/boisson-sportive-a-lorange-gatorade-46587/
1642,Boisson tonic 275 ml,boisson,unité (4x275ml),7.49,187.25,caisse (6x4x275ml),39.99,0.606,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-tonic-1642-32177/
1642,Boisson yuzu 275 ml,boisson,unité (4x275ml),7.49,187.25,caisse (6x4x275ml),39.99,0.606,https://www.mayrand.ca/fr/nos-produits/boisson/boisson-gazeuse/boisson-yuzu-1642-32176/
Minor Figures,Boisson à l'avoine 1 L,boisson,unité (1L),4.29,0.429,caisse (6x1L),23.99,0.4,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/lait-davoine-minor-figures-33322/
Earth's own,Boisson à l'avoine barista 946 ml,boisson,unité (946ml),5.49,0.58,caisse (12X946ml),59.99,0.528,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-avoine-barista-earths-own-30394/
Earth's own,Boisson à l'avoine et vanille non sucré 946 ml,boisson,unité (946ml),3.29,0.348,caisse (12X946ml),36.99,0.326,https://www.mayrand.ca/fr/nos-produits/boisson/lait-et-boisson-vegetale/boisson-vegetale/boisson-avoine-vanille-non-sucre-earths-own-30393/
