Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Starfrit,Coupe-frites et cubes Pro,equipement,unité (1un),29.99,29.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/hachoir/coupe-frites-et-cubes-pro-starfrit-28651/
Starfrit,Coupe-pommes 4 en 1,equipement,unité (1un),24.99,24.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/hachoir/coupe-pommes-4-en-1-starfrit-28641/
Browne,"Couteau à trancher 10 / 25,4 cm",equipement,unité (1un),19.99,19.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/appareil-de-cuisine/trancheur-2761b346/couteau-a-trancher-10--254-cm-browne-24017/
Solo,Couvercle L1624B x125,equipement,unité (125un),11.99,0.096,caisse (16x125g),170.99,8.55,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-l1624b-solo-92673/
IEL,Couvercle articulé inpack blanc,equipement,unité (1un),1.99,1.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvert-articule-inpack-blanc-iel-26868/
IEL,Couvercle articulé inpack blanc,equipement,unité (1un),1.99,1.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvert-articule-inpack-blanc-iel-26868/
IEL,Couvercle blanc,equipement,unité (1un),3.09,3.09,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-blanc-iel-26873/
IEL,Couvercle blanc,equipement,unité (1un),1.29,1.29,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-blanc-iel-26870/
Sagetra,Couvercle carré en polyéthylène bleu,equipement,unité (1un),4.99,4.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-carre-en-polyethylene-bleu-sagetra-21126/
Sagetra,Couvercle carré en polyéthylène rouge,equipement,unité (1un),2.99,2.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-carre-en-polyethylene-rouge-sagetra-21127/
Sagetra,Couvercle carré en polyéthylène vert,equipement,unité (1un),1.99,1.99,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/equipement/bac/couvercle/couvercle-carre-en-polyethylene-vert-sagetra-21128/
