Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
HFA,"Assiette à tarte en aluminium 22,9 cm / 9 x50",emballage,unité (50un),11.99,0.24,caisse (4x50un),44.99,0.225,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-en-aluminium-9-hfa-25320/
HFA,"Assiette à tarte en aluminium 25,4 cm / 10'' x50",emballage,unité (50un),18.99,0.38,caisse (4X50S),64.99,0.325,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-en-aluminium-10-hfa-25321/
HFA,"Assiette à tarte individuelle en aluminium 7,6 cm /3'' x100",emballage,unité (100un),13.99,0.14,caisse (10X100un),123.99,0.124,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiette-a-tarte-individuelle-en-aluminium-3-hfa-25851/
Party Couture,Assiettes noires carrées mini x12,emballage,unité (12un),1.99,0.166,caisse (48x12un),83.99,0.146,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/assiette-jetable/assiettes-noires-carrees-mini-party-couture-32510/
511 Food Service,Baguette chinoise en bambou emballée x50,emballage,unité (50un),3.29,0.066,caisse (40X50un),111.99,0.056,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/ustensile-jetable/baguettes-chinoises-en-bambou-emballees-511-food-service-25699/
Touch,"Baguette chinoise enveloppé 22,9 cm / 9 x100",emballage,unité (100un),3.99,0.04,caisse (20x100un),64.99,0.032,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/ustensile-jetable/baguette-chinoise-enveloppe-9-touch-36556/
Touch,"Baguette chinoise enveloppée en papier 22,9 cm / 9 x100",emballage,unité (100un),4.29,0.043,caisse (20x100un),68.99,0.034,https://www.mayrand.ca/fr/nos-produits/emballage/vaisselle-jetable/ustensile-jetable/baguette-chinoise-enveloppe-en-papier-9-touch-36563/
ABC Emballuxe,Barquette bateau ovale en bois 10 x 22 cm x50,emballage,unité (50un),8.99,0.18,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/barquette-bateau-ovale-en-bois-100x220-mm-abc-emballuxe-26224/
ABC Emballuxe,"Barquette bateau ovale en bois 6,3 x 11,5 cm x100",emballage,unité (100un),6.99,0.07,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/barquette-bateau-ovale-en-bois-63x115-mm-abc-emballuxe-26220/
ABC Emballuxe,"Barquette bateau ovale en bois 7 x 4,5 cm x100",emballage,unité (100un),7.99,0.08,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/emballage/contenant-jetable/contenant-ecologique/barquette-bateau-ovale-en-bois-70x45-mm-abc-emballuxe-26219/
