Brand                   ,Description                                                      ,Catérogie ,Format (petit)          ,Prix Total ,Prix unitaire ,Format (grand)     ,Prix Total ,Prix unitaire ,URL
Not available           ,Bifteck de surlonge de porc 12 à 20 tranches                     ,boucherie ,unité (env. 1 kg)       ,8.63       ,0.863         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/porc/bifteck-de-surlonge-de-porc--50275/
Not available           ,Bifteck de surlonge frais 200 g                                  ,boucherie ,unité (env. 1 kg)       ,17.99      ,1.799         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/biftek-surlonge-200g-fr--52350/
Not available           ,Bifteck filet mignon 1855 225 g x2                               ,boucherie ,"unité (env. 0,225 kg)" ,59.99      ,26.662        ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-filet-mignon-1855--52363/
Not available           ,"Bifteck tomahawk de bœuf vieilli AAA 1,5 kg"                    ,boucherie ,"unité (env. 1,5 kg)"   ,36.65      ,2.443         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bifteck-tomahawk-de-buf-vieilli-aaa-qc--52020/
Canabec                 ,Bison à fondue chinoise congelé 200 g                            ,boucherie ,unité (200g)            ,11.79      ,5.895         ,caisse (10x200g)   ,111.29     ,5.565         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/bison-a-fondue-chinoise-congele-canabec-50722/
Not available           ,Bloc de foie gras de canard 200 g                                ,boucherie ,unité (200g)            ,14.99      ,7.495         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/bloc-de-foie-gras-de-canard--50846/
Not available           ,Boeuf haché mi-maigre congelé                                    ,boucherie ,unité (env. 2 kg)       ,8.99       ,0.45          ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-hache-mi-maigre-congele--50053/
Not available           ,Boeuf haché mi-maigre congelé 10 x 454 g                         ,boucherie ,"unité (env. 4,54 kg)"  ,8.99       ,0.198         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-hache-mi-maigre-congele-454gx10--50175/
Not available           ,Boeuf porc veau haché congelé 4 x 500 g                          ,boucherie ,unité (env. 2 kg)       ,8.95       ,0.448         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-porc-et-veau-hache-congele--52182/
Not available           ,Boeuf pour fondue chinoise congelé                               ,boucherie ,unité (200g)            ,5.99       ,2.995         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-pour-fondue-chinoise-congele--53203/
Not available           ,Boeuf à fondue chinoise                                          ,boucherie ,"unité (env. 0,25 kg)"  ,22.02      ,8.808         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-pour-fondue-chinoise--50306/
Famille Fontaine        ,Boulettes de veau assaisonnées 450 g                             ,boucherie ,"unité (env. 0,454 kg)" ,16.99      ,3.742         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/veau/boulettes-de-veau-assaisonnees-famille-fontaine-52397/
Not available           ,Bout de côte de boeuf AA                                         ,boucherie ,"unité (env. 0,5 kg)"   ,12.09      ,2.418         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/bout-de-cote-de-boeuf-aa--52021/
Not available           ,Brisket de bœuf de 8 kg environ                                  ,boucherie ,unité (env. 8 kg)       ,10.99      ,0.137         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/brisket-de-boeuf--52342/
Not available           ,Brochette de bœuf fraîche 250 g x2                               ,boucherie ,"unité (env. 0,5 kg)"   ,17.61      ,3.522         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/brochette-de-boeuf-frais--52117/
Not available           ,Brochette de bœuf fraîche 250 g x4                               ,boucherie ,unité (env. 1 kg)       ,15.41      ,1.541         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/brochette-de-boeuf-frais-fe--52115/
Not available           ,Brochette de bœuf marinée fraîche 250 g x2                       ,boucherie ,"unité (env. 0,5 kg)"   ,17.61      ,3.522         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/brochette-de-boeuf-marine-frais--50666/
Not available           ,Brochette de bœuf marinée fraîche 250 g x4                       ,boucherie ,unité (env. 1 kg)       ,15.41      ,1.541         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/brochette-de-boeuf-marine-fe-frais--50665/
Not available           ,Brochette de bœuf surgelée 250 g x4                              ,boucherie ,unité (env. 1 kg)       ,15.41      ,1.541         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/brochette-de-boeuf-surgele-fe--52116/
Not available           ,Brochette de poulet fraîche 250 g x4                             ,boucherie ,unité (env. 1 kg)       ,15.41      ,1.541         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/brochette-de-poulet-frais-fe--52119/
Not available           ,Brochette de poulet marinée fraîche 250 g x2                     ,boucherie ,"unité (env. 0,5 kg)"   ,17.61      ,3.522         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/brochette-de-poulet-frais-marine--50670/
Not available           ,Brochette de poulet marinée fraîche 250 g x4                     ,boucherie ,unité (env. 1 kg)       ,15.41      ,1.541         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/brochette-de-poulet-frais-marine-fe--50669/
Not available           ,Brochette de poulet surgelée 250 g x4                            ,boucherie ,unité (env. 1 kg)       ,15.41      ,1.541         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/volaille/brochette-de-poulet-surgele-fe--52120/
Canabec                 ,Burger de Wapiti 100 % congelé 140 g x2                          ,boucherie ,unité (2x140g)          ,8.39       ,419.5         ,caisse (10x2x140g) ,81.49      ,2.91          ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/burger-de-wapiti-100--congele-canabec-50735/
Canabec                 ,Burger de bison 100% congelé 140 g x2                            ,boucherie ,unité (2x140g)          ,12.39      ,619.5         ,caisse (10x2x140g) ,117.49     ,4.196         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/burger-de-bison-100-congele-canabec-50736/
Canabec                 ,Burger de canard 100% congelé 140 g x2                           ,boucherie ,unité (2x140g)          ,7.79       ,389.5         ,caisse (10x2x140g) ,73.79      ,2.635         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/burger-de-canard-100-congele-canabec-50738/
Canabec                 ,Burger de cerf 100% congelé 140 g x2                             ,boucherie ,unité (2x140g)          ,7.39       ,369.5         ,caisse (10x2x140g) ,69.99      ,2.5           ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/burger-de-cerf-100-congele-canabec-50734/
Canabec                 ,Burger de kangourou 100% congelé 140 g x2                        ,boucherie ,unité (2x140g)          ,5.99       ,299.5         ,caisse (10x2x140g) ,56.29      ,2.01          ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/burger-de-kangourou-100-congele-canabec-50739/
Nagano                  ,Burger de porc Nagano surgelé x2                                 ,boucherie ,unité (2 X 180g)        ,5.99       ,299.5         ,caisse (kg)        ,65.99      ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/porc/burger-porc-nagano-surgele-nagano-50373/
Rang 4                  ,Burger de porc cheddar et bacon 600 g                            ,boucherie ,unité (600g)            ,9.99       ,1.665         ,caisse (10x600g)   ,95.99      ,1.6           ,https://www.mayrand.ca/fr/nos-produits/boucherie/saucisse/burger-porc-cheddar-et-bacon-rang-4-52910/
Rang 4                  ,Burger de porc épices de Montréal 600 g                          ,boucherie ,unité (600g)            ,9.99       ,1.665         ,caisse (10x600g)   ,95.99      ,1.6           ,https://www.mayrand.ca/fr/nos-produits/boucherie/saucisse/burger-porc-epice-montreal-rang-4-52909/
Canabec                 ,Burger de sanglier et cerf 140 g x2                              ,boucherie ,unité (2x140g)          ,7.89       ,394.5         ,caisse (8x2x140g)  ,59.79      ,2.669         ,https://www.mayrand.ca/fr/nos-produits/boucherie/gibier/burger-de-sanglier-et-cerf-congele-canabec-50737/
Not available           ,Burger de saucisse Italienne douce surgelée 150 g x4             ,boucherie ,"unité (env. 0,6 kg)"   ,11.99      ,1.998         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/saucisse/burger-saucisse-italienne-douce-srg--50892/
Not available           ,Burger de saucisse bacon fromage surgelée 150 g x4               ,boucherie ,"unité (env. 0,6 kg)"   ,11.99      ,1.998         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/saucisse/burger-saucisse-bacon-fromage-srg--50893/
Not available           ,Bœuf haché extra maigre 454 g x2                                 ,boucherie ,"unité (env. 0,908 kg)" ,14.31      ,1.576         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-hache-extra-maigre-2x454g--50165/
Not available           ,Bœuf haché extra-maigre congelé 10 x 454 g                       ,boucherie ,"unité (env. 4,54 kg)"  ,10.99      ,0.242         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-hache-extra-maigre-sous-vide-congele--50172/
Not available           ,Bœuf haché extra-maigre congelé 454 g x4                         ,boucherie ,"unité (env. 1,816 kg)" ,10.99      ,0.605         ,N/A                ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/boucherie/boeuf/boeuf-hache-extra-maigre-congele-454gx4--52192/
