Brand,Description,Catérogie,Format (petit),Prix Total,Prix unitaire,Format (grand),Prix Total,Prix unitaire,URL
Le Pont Tournant,Brie double crème Le Pont Tournant,produits-laitiers,"unité (env. 0,2 kg)",26.99,13.495,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-a-pate-molle-et-a-croute-fleurie-coupe-le-pont-tournant-24418/
Le Pont Tournant,Brie double crème Le Pont Tournant meule 2 kg,produits-laitiers,unité (env. 2 kg),23.99,1.199,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-a-pate-molle-et-a-croute-fleurie-meule-le-pont-tournant-24413/
Alexis de Portneuf,Brie double crème d'Alexis 300 g,produits-laitiers,unité (300g),8.29,2.763,caisse (4X300g),31.79,2.649,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-alexis-de-portneuf-alexis-de-portneuf-45585/
Alexis de Portneuf,Brie double crème de Portneuf 300 g,produits-laitiers,"unité (env. 0,3 kg)",26.69,8.897,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-double-creme-coupe-alexis-de-portneuf-37032/
Alexis de Portneuf,"Brie double crème de Portneuf meule 2,5 kg",produits-laitiers,"unité (env. 2,5 kg)",24.69,0.988,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-double-creme-meule-alexis-de-portneuf-37031/
Président,Brie français 400 g,produits-laitiers,"unité (env. 0,4 kg)",26.99,6.747,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/brie-francais-coupe-president-27998/
Cendré de Lune,Brie triple crème Cendré de Lune 200 g,produits-laitiers,unité (200g),8.29,4.145,caisse (3X200g),23.79,3.965,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/fromage-brie-triple-creme-cendre-cendre-de-lune-18128/
Brillat Savarin,Brillat Savarin 270 g,produits-laitiers,"unité (env. 0,27 kg)",39.99,14.811,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/camembert-et-brie/brillat-savarin-coupe-brillat-savarin-36086/
Bella Casara,Burrata 250 g,produits-laitiers,unité (250g),9.99,3.996,caisse (6X250g),52.49,3.499,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/mozzarella-categorie/burrata-bella-casara-35371/
Aurrichio,Caciocavale 800 g,produits-laitiers,"unité (env. 0,8 kg)",28.99,3.624,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-italien/caciocavale-meule-aurrichio-25388/
Saputo,"Caciocavallo canadien medium 1,25 kg",produits-laitiers,"unité (env. 1,25 kg)",21.99,1.759,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-italien/caciocavallo-canadien-medium-saputo-06531/
Saputo,Caciocavallo fumé 1 kg,produits-laitiers,unité (env. 1 kg),21.99,2.199,N/A,N/A,N/A,https://www.mayrand.ca/fr/nos-produits/produits-laitiers/fromage/fromage-italien/caciocavallo-fume-saputo-17566/
