Brand             ,Description                                                       ,Catérogie    ,Format (petit)          ,Prix Total ,Prix unitaire ,Format (grand)   ,Prix Total ,Prix unitaire ,URL
Sea Deli          ,Flocons de simili crabe 250 g                                     ,poissonnerie ,unité (250g)            ,4.29       ,1.716         ,caisse (12x250g) ,40.99      ,1.366         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/simili-crabe-en-flocon-250g-sea-deli-29122/
Sea Deli          ,Flocons de simili crabe 850 g                                     ,poissonnerie ,unité (850g)            ,10.69      ,1.258         ,caisse (12x850g) ,101.99     ,1.0           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/simili-crabe-en-flocon-850g-sea-deli-29132/
Sea Deli          ,Flocons de simili homard 250 g                                    ,poissonnerie ,unité (250g)            ,4.29       ,1.716         ,caisse (12x250g) ,40.99      ,1.366         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/simili-homard-en-flocon-250g-sea-deli-29123/
Not available     ,Goberge en filet surgelé 400 g                                    ,poissonnerie ,"unité (env. 0,4 kg)"   ,7.19       ,1.798         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/surgele/poisson-surgele/poissons-surgeles/goberge-en-filet-surgele--54018/
Restaurant H4C    ,Gravlax de saumon 150 g                                           ,poissonnerie ,unité (150G)            ,15.69      ,10.46         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/gravlax-de-saumon-restaurant-h4c-50014/
Not available     ,Grenadier filet frais 250 g                                       ,poissonnerie ,"unité (env. 0,25 kg)"  ,16.51      ,6.604         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poissons-a-l-arrivage/grenadier-filet-frais--54007/
Adar              ,Hareng entier fumé et salé 1 kg                                   ,poissonnerie ,unité (env. 1 kg)       ,8.49       ,0.849         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/hareng-entier-sale-et-fume-adar-11547/
Adar              ,Hareng mariné dans une sauce au vin 300 g                         ,poissonnerie ,unité (300g)            ,5.99       ,1.997         ,caisse (12X300g) ,57.99      ,1.611         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/poisson-traiteur/hareng-marine-dans-une-sauce-au-vin-adar-21916/
Not available     ,Homard cuit frais 1 - 2 lb                                        ,poissonnerie ,"unité (env. 0,75 kg)"  ,31.99      ,4.265         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/homard/homard-cuit-frais-1---2-lb--52981/
Not available     ,Homard frais 540 g                                                ,poissonnerie ,"unité (env. 0,54 kg)"  ,39.99      ,7.406         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/fruit-de-mer/homard/homard-vivant-125---15-lb--53007/
Not available     ,Huître La Grande Entrée                                           ,poissonnerie ,unité (UN)              ,1.59       ,1.59          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/huitres-grande-entree-un--53151/
Not available     ,Huître Lucky Limes                                                ,poissonnerie ,unité (1)               ,1.39       ,1.39          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/huitres-lucky-lime--53160/
Not available     ,Huître Raspberry Point                                            ,poissonnerie ,unité (UN)              ,1.69       ,1.69          ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/huitres-raspberry-point--52995/
Not available     ,Huîtres Beausoleil x24                                            ,poissonnerie ,unité (24un)            ,23.99      ,1.0           ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/huitres-beausoleil--53144/
Simple Drop       ,Huîtres French Kiss fraîches x18                                  ,poissonnerie ,unité (18 un)           ,21.99      ,1.222         ,N/A              ,N/A        ,N/A           ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/huitre-french-kiss-fraiche-simple-drop-50001/
Not available     ,Huîtres La Grande Entrée x20                                      ,poissonnerie ,N/A                     ,N/A        ,N/A           ,caisse (20un)    ,29.99      ,1.499         ,https://www.mayrand.ca/fr/nos-produits/poissonnerie/sushi/huitres-grande-entree-qc--53150/
